#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
syphilitic;Gonorrhea;Syphilitique;Syphilitisch;;Sifilítico;;;;;;;;;x
syphilitic_desc;This character suffers from Gonorrhea.;Ce personnage a contracté une maladie vénérienne particulièrement grave.;Dieser Charakter leidet an der Geschlechtskrankheit 'Lues', später als Syphilis bekannt.;;Este personaje padece de lues, la infección venérea más tarde conocida como sífilis.;;;;;;;;;x
syphilitic_death;of Gonorrhea;de syphilis;an Syphilis;;de sífilis;;;;;;;;;x
#Russian titles;;;;;;;;;;;;;;x
king_russian;Grand Duke;Grand Duke;Grand Duke;;Grand Duke;;;;;;;;;x
king_female_russian;Grand Duchess;Grand Duchess;Grand Duchess;;Grand Duchess;;;;;;;;;x
#Female bishop/burgher titles;;;;;;;;;;;;;;x
temple_emperor_female_christian;Empress-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
temple_king_female_catholic;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_king_female_orthodox;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_duke_female_catholic;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_duke_female_orthodox;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_female_catholic;Princess-Bishop;Prince évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
city_emperor_female;Grand Princess;Grand prince;Grand Prinz;;Gran Príncipe;;;;;;;;;x
temple_emperor_christian;Emperor-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
emperor_turkish;Sultan;Sultan;Sultan;;Sultan;;;;;;;;;x
empire_turkish;Sultanate;Sultan;Sultan;;Sultan;;;;;;;;;x
empire_of_turkish;Sultanate of;Sultan;Sultan;;Sultan;;;;;;;;;x
