#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
slovene;Slovene;;;;;;;;;;;;;x
norsegael;Norse-Gael;;;;;;;;;;;;;x
sicilian;Sicilian;;;;;;;;;;;;;x
CHARACTER_TOOLTIP_DELAYED;[GetStatusInfo]\nID: §Y[GetID]§!\nDynasty: §Y[GetOnlyDynastyName]§!\nReligion: §Y[Religion.GetName]§!\nCulture: §Y[Culture.GetName]\n;;;;;;;;;;;;;x
holy_war_cooldown;Holy War Cooldown;;;;;;;;;;;;;x
coastal_republic_cooldown;Seize Coast Cooldown;;;;;;;;;;;;;x
TITLE_TIER_IS_LOWER;Rank is lower than §Y$RANK$§!\n;Le rang de §Y$NAME$§! est inférieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist geringer als der von §Y$RANK$§!\n;;El rango de §Y$NAME$'s§! es inferior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_NOT_LOWER;Rank is NOT lower than §Y$RANK$§!\n;Le rang de §Y$NAME$§! n'est PAS inférieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist nicht geringer als der von §Y$RANK$§!\n;;El rango de §Y$NAME$'s§! NO es inferior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_HIGHER;Rank is higher than §Y$RANK$§!\n;Le rang de §Y$NAME$§! est supérieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist höher als der von §Y$RANK$§!\n;;El rango de §Y$NAME$'s§! es superior al de §Y$RANK$§!\n;;;;;;;;;x
TITLE_TIER_IS_NOT_HIGHER;Rank is NOT higher than §Y$RANK$§!\n;Le rang de §Y$NAME$§! n'est PAS supérieur à §Y$RANK$§!\n;§Y$NAME$'s§! Rang ist nicht höher als der von §Y$RANK$§!\n;;El rango de §Y$NAME$'s§! NO es superior al de §Y$RANK$§!\n;;;;;;;
cultural_flexibility;Cultural Flexibility;;;;;;;;;;;;;x
opinion_increased_crown_levies;Increased Crown Levies;;;;;;;;;;;;;x
opinion_protected_inheritance;Disabled External Inheritance;;;;;;;;;;;;;x
RETINUE_EXPL_DEL;Your Retinue is a standing army consisting of §Y250-man§! regiments. Unlike Army Levies, retinues are always on the map and reinforce slowly. Retinues cost the most maintenance while reinforcing, but will still cost one fourth of their maximum reinforcement cost when simply being maintained.\nThe maximum number of retinue regiments you can field depends on your §YMilitary Organization§! technology, the size of all the levies in your realm, and the buildings in your demesne.;;;;;;;;;;;;;x
immortal;Immortal;;;;;;;;;;;;;x
immortal_desc;Immortals will never succumb to old age, but they can still die from other causes.;;;;;;;;;;;;;x
jewish_DESC;Judaism is, collectively, the religion of the Jewish people. It affirms the existence of one God, Yahweh, who entered into covenant with the descendants of Abraham, God's chosen people. Judaism's holy writings reveal how God has been present with them throughout their history. These writings are known as the Torah, specifically the five books of Moses, but most broadly conceived as the Hebrew Scriptures (traditionally called the Old Testament by Christians) and the compilation of oral tradition known as the Talmud (which includes the Mishnah, the oral law). It has no special features. ;;;;;;;;;;;;;x
